Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,Cultivar 1,Cultivar 2,Cultivar 3
1.086269803,2.426968477,-0.499015641,0.151660791,-1.386121792,-2.107246023,-1.695970527,0.307373613,-1.595971466,-0.068384938,-1.655998533,-1.810307325,-1.056912003,0,0,1
0.060999882,1.367725965,-0.170034959,0.902373272,-1.035055089,-1.033683886,-0.441012124,1.999512887,0.050987617,-0.111641936,-0.515290467,-0.849846211,-0.738462629,0,1,0
1.518612541,-0.562249798,0.232052541,-1.169593175,1.913905218,0.808997395,1.034818958,-0.659563114,1.224883984,0.25171685,0.362177276,1.847919567,1.013008927,1,0,0
0.196879028,0.021231246,1.10933436,-0.268738198,0.088358361,0.808997395,1.215532968,-0.498406993,2.135967732,0.269019649,0.318303889,0.788587455,1.395148175,1,0,0
-0.050173965,0.999684075,-0.060374732,-0.298766697,0.439425064,-1.450290088,-1.334542507,0.307373613,-1.140429592,0.095991656,-1.217264662,-1.217081343,-0.228943631,0,0,1
0.876274759,-0.427600326,-0.023821323,-0.869308183,0.088358361,0.5045544,0.854104948,-0.740141175,0.173633506,-0.544211919,0.669290986,1.960914992,0.917474115,1,0,0
0.443932021,0.200763875,-0.060374732,0.151660791,-0.754201726,-1.434266773,-1.535335851,0.065639431,-1.666054831,0.234414051,-1.129517888,-0.200122516,0.105428211,0,0,1
-1.137207134,-0.454530221,-0.170034959,-0.298766697,-1.315908451,-1.113800463,-0.531369129,1.274310341,0.086029299,-1.149809895,0.537670824,-0.482611079,-0.84991991,0,1,0
0.629221766,-0.481460115,1.036227541,-0.148624201,0.720278427,0.087948198,0.502716595,-0.578985054,-0.089179114,-0.371183926,0.625417599,0.36485461,1.108543739,1,0,0
-0.087231914,1.313866176,1.036227541,-0.268738198,0.158571702,0.184088091,0.382240589,-0.901297296,0.681737904,-0.241412931,0.318303889,1.28294244,0.073583274,1,0,0
0.13511578,-0.391693801,1.401761633,1.803228249,1.141558471,-0.152401534,-0.752241808,-0.820719236,-0.054137431,0.883269025,-1.524378372,-1.810307325,-1.025067066,0,0,1
-0.778980294,-1.082894423,-0.754889505,-0.148624201,-0.894628408,1.930629478,1.074977627,-1.38476566,0.489008649,-0.26304143,1.151898245,0.36485461,-1.040989535,0,1,0
0.036294583,-1.289356946,-2.399792915,-1.049479178,-0.964841748,-0.552984421,0.000733234,-0.981875357,-0.229345844,-0.198155932,1.020278083,-0.185998088,-1.130155359,0,1,0
-1.433670725,-1.298333578,0.780353678,-0.448909194,-0.403135023,-0.152401534,0.181447244,-1.143031478,1.330009032,-0.868639406,-0.734657403,0.661467602,-0.722540161,0,1,0
1.395086044,1.58316512,1.365208223,1.502943256,-0.262708342,-0.392751267,-1.274304503,1.596622583,-0.422075098,1.791665989,-1.524378372,-1.428947765,-0.595160411,0,0,1
