Test number,inputDimensions,hiddenDimensions,outputDimensions,learningRate,trainingCycles,training accuracy,test accuracy
1,11,14,3,1,4500,87.99,0.79
2,11,5,3,0.07,4500,82.32,0.85
3,11,2,3,0.07,4500,82.32,0.85
4,11,14,3,0.07,4500,83.85,0.83
5,11,14,3,0.07,15000,83.85,0.83
6,11,14,3,0.001,15000,82.254,0.83
7,11,14,3,1,25000,95.13,0.79
8,11,7,3,1,25000,88.85,0.77
9,11,14,3,0.5,25000,88.85,0.71
10,11,14,3,5,25000,82.32,0.85
11,11,14,3,0.7,25000,90.4,0.82
12,11,20,3,0.7,25000,84.52,0.85
13,11,20,3,1,25000,93.32,0.82
14,11,20,3,1,40000,93.92,
